Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,P,05683,SATAKUNNANKATU 50,33230,TAMPERE,KAUPPA,K-MARKET AMURI,24 H AUKIOLO,,61.499640,23.743290
,,EP,05469,SÄRKÄNNIEMI,33230,TAMPERE,HUVIPUISTO,SÄRKÄNNIEMI / NÄSINNEULAN RAKENNUS,LIIKETILAN AUKIOLO,,61.504680,23.743590
,,O+,40324,PISPALAN VALTATIE 133,33270,TAMPERE,LIIKEKIINTEISTÖ,EPILÄ,24 H AUKIOLO,,61.508013,23.669504
,,P,05841,TESOMANKATU 4,33310,TAMPERE,TAVARATALO,LIIKEKESKUS WESTERI,LIIKETILAN AUKIOLO,,61.505220,23.626880
,,T,40164,TESOMANKATU 4,33310,TAMPERE,TAVARATALO,LIIKEKESKUS WESTERI,LIIKETILAN AUKIOLO,,61.505360,23.626250
,,EP,05550,ANTTI POSSIN KUJA 1,33400,TAMPERE,KAUPPAKESKUS,KAUPPAKESKUS LIELAHTIKESKUS,LIIKETILAN AUKIOLO,,61.520040,23.668950
,,T,40127,ANTTI POSSIN KUJA 1,33400,TAMPERE,KAUPPAKESKUS,KAUPPAKESKUS LIELAHTIKESKUS,LIIKETILAN AUKIOLO,,61.519860,23.669720
,,EP,05465,HARJUNTAUSTA 7,33400,TAMPERE,TAVARATALO,K-CITYMARKET LIELAHTI,LIIKETILAN AUKIOLO,,61.515000,23.666740
,,P,05749,HARJUNTAUSTA 7,33400,TAMPERE,TAVARATALO,K-CITYMARKET LIELAHTI,24 H AUKIOLO,,61.515570,23.667120
,,O,04678,POSSIJÄRVENKATU 1,33400,TAMPERE,PANKIN KONTTORI,OP LIELAHTI,24 H AUKIOLO,,61.517720,23.663430
,,EP,05685,ILMARINJÄRVENTIE 252,33450,TAMPERE,KAUPPA,K-MARKET SIIVIKKALA,LIIKETILAN AUKIOLO,,61.550310,23.656080
,,EP,05483,ELOTIE 1,33470,YLÖJÄRVI,KAUPPAKESKUS,ELO,LIIKETILAN AUKIOLO,,61.557440,23.570310
,,O+,40219,ELOTIE 9,33470,YLÖJÄRVI,KAUPPAKESKUS,ELOVAINION LIIKEKESKUS,LIIKETILAN AUKIOLO,,61.558030,23.576730
,,T,40075,MASTONTIE 2,33470,YLÖJÄRVI,TAVARATALO,K-SUPERMARKET LINKKI,LIIKETILAN AUKIOLO,,61.548850,23.594070
,,O,03830,MIKKOLANTIE 1,33470,YLÖJÄRVI,PANKIN KONTTORI,OP YLÖJÄRVI,24 H AUKIOLO,,61.548820,23.596430
,,P,05983,TAMMELAN PUISTOKATU 21,33500,TAMPERE,HUOLTOASEMA,NESTE TAMMELA,24 H AUKIOLO,,61.503200,23.780110
,,EP,05499,TEISKONTIE 35,33520,TAMPERE,SAIRAALA,TAYS /KESKUSSAIRAALA,LIIKETILAN AUKIOLO,,61.503820,23.817690
,,O+,40335,SAMMONKATU 26,33540,TAMPERE,PANKIN KONTTORI,SP TAMPERE SAMMONKATU,24 H AUKIOLO,,61.497120,23.797490
,,P,05931,MÄENTAKUSENKATU 1,33580,TAMPERE,TAVARATALO,K-CITYMARKET LINNAINMAA,24 H AUKIOLO,,61.496430,23.887980
,,T,40138,MÄENTAKUSENKATU 1,33580,TAMPERE,TAVARATALO,K-CITYMARKET LINNAINMAA,LIIKETILAN AUKIOLO,,61.497140,23.889610
